Country,Year,ChildMortality
Afghanistan,2019,171407
Albania,2019,868
Algeria,2019,60319
Andorra,2019,5
Angola,2019,191264
Antigua and Barbuda,2019,24
Argentina,2019,17764
Armenia,2019,1167
Australia,2019,2844
Austria,2019,742
Azerbaijan,2019,8124
Bahamas,2019,163
Bahrain,2019,345
Bangladesh,2019,219826
Barbados,2019,101
Belarus,2019,761
Belgium,2019,1013
Belize,2019,247
Benin,2019,74573
Bhutan,2019,893
Bolivia (Plurinational State of),2019,15215
Bosnia and Herzegovina,2019,404
Botswana,2019,5112
Brazil,2019,99216
Brunei Darussalam,2019,171
Bulgaria,2019,979
Burkina Faso,2019,124949
Burundi,2019,51113
Cabo Verde,2019,385
Cambodia,2019,23177
Cameroon,2019,134335
Canada,2019,4797
Central African Republic,2019,38063
Chad,2019,140212
Chile,2019,4028
China,2019,308746
Colombia,2019,24249
Comoros,2019,3729
Congo,2019,17588
Cook Islands,2019,5
Costa Rica,2019,1547
C̫te d'Ivoire,2019,153024
Croatia,2019,429
Cuba,2019,1271
Cyprus,2019,68
Czechia,2019,807
Democratic People's Republic of Korea,2019,14133
Democratic Republic of the Congo,2019,616450
Denmark,2019,620
Djibouti,2019,2780
Dominica,2019,90
Dominican Republic,2019,14583
Ecuador,2019,11121
Egypt,2019,125629
El Salvador,2019,3651
Equatorial Guinea,2019,7440
Eritrea,2019,9288
Estonia,2019,72
Eswatini,2019,3159
Ethiopia,2019,405880
Fiji,2019,1089
Finland,2019,290
France,2019,7909
Gabon,2019,6241
Gambia,2019,10098
Georgia,2019,1225
Germany,2019,7264
Ghana,2019,90195
Greece,2019,744
Grenada,2019,77
Guatemala,2019,24329
Guinea,2019,86894
Guinea-Bissau,2019,10870
Guyana,2019,1117
Haiti,2019,36647
Honduras,2019,8382
Hungary,2019,794
Iceland,2019,18
India,2019,2025425
Indonesia,2019,271753
Iran (Islamic Republic of),2019,52634
Iraq,2019,70351
Ireland,2019,504
Israel,2019,1458
Italy,2019,3502
Jamaica,2019,1673
Japan,2019,4807
Jordan,2019,8209
Kazakhstan,2019,9262
Kenya,2019,142031
Kiribati,2019,365
Kuwait,2019,1079
Kyrgyzstan,2019,7217
Lao People's Democratic Republic,2019,17156
Latvia,2019,174
Lebanon,2019,2044
Lesotho,2019,11021
Liberia,2019,28490
Libya,2019,3483
Lithuania,2019,250
Luxembourg,2019,41
Madagascar,2019,92173
Malawi,2019,57419
Malaysia,2019,10833
Maldives,2019,134
Mali,2019,147369
Malta,2019,76
Marshall Islands,2019,101
Mauritania,2019,22956
Mauritius,2019,519
Mexico,2019,77210
Micronesia (Federated States of),2019,179
Monaco,2019,4
Mongolia,2019,2809
Montenegro,2019,42
Morocco,2019,36095
Mozambique,2019,174571
Myanmar,2019,96520
Namibia,2019,6443
Nauru,2019,23
Nepal,2019,42786
Netherlands,2019,1737
New Zealand,2019,675
Nicaragua,2019,5461
Niger,2019,156292
Nigeria,2019,1675912
Niue,2019,2
Norway,2019,346
Oman,2019,2403
Pakistan,2019,979354
Palau,2019,10
Panama,2019,2867
Papua New Guinea,2019,23902
Paraguay,2019,6704
Peru,2019,17092
Philippines,2019,135866
Poland,2019,4009
Portugal,2019,694
Qatar,2019,410
Republic of Korea,2019,2779
Republic of Moldova,2019,1511
North Macedonia,2019,343
Romania,2019,3030
Russian Federation,2019,24290
Rwanda,2019,29846
Saint Kitts and Nevis,2019,27
Saint Lucia,2019,119
Saint Vincent and the Grenadines,2019,58
Samoa,2019,173
San Marino,2019,0
Sao Tome and Principe,2019,448
Saudi Arabia,2019,9513
Senegal,2019,54718
Serbia,2019,1089
Seychelles,2019,57
Sierra Leone,2019,56065
Singapore,2019,277
Slovakia,2019,753
Slovenia,2019,98
Solomon Islands,2019,949
Somalia,2019,142396
South Africa,2019,86461
South Sudan,2019,75812
Spain,2019,2935
Sri Lanka,2019,5819
Sudan,2019,170332
Suriname,2019,481
Sweden,2019,718
Switzerland,2019,911
Syrian Arab Republic,2019,21315
Tajikistan,2019,21789
Thailand,2019,15696
Timor-Leste,2019,3811
Togo,2019,35841
Tonga,2019,97
Trinidad and Tobago,2019,791
Tunisia,2019,8687
Turkey,2019,31326
Turkmenistan,2019,14005
Tuvalu,2019,18
Uganda,2019,161429
Ukraine,2019,8533
United Arab Emirates,2019,1789
United Kingdom of Great Britain and Northern Ireland,2019,8297
United Republic of Tanzania,2019,220823
United States of America,2019,61677
Uruguay,2019,826
Uzbekistan,2019,29623
Vanuatu,2019,514
Venezuela (Bolivarian Republic of),2019,31031
Viet Nam,2019,73486
Yemen,2019,111199
Zambia,2019,80101
Zimbabwe,2019,52218
